      -3.0000000      0.99155302       1.2832407      -541.08542
      -2.7500000      0.98905312       1.8974943      -755.78865
      -2.5000000      0.98528833       2.7857984      -1050.3021
      -2.2500000      0.97926969       4.1539983      -1440.1806
      -2.0000000      0.97009566       6.0591390      -1934.6283
      -1.7500000      0.95572633       8.9026471      -2568.1705
      -1.5000000      0.93387638       12.565461      -3207.1493
      -1.2500000      0.90150772       17.491237      -3827.8939
      -1.0000000      0.85465783       23.297270      -4210.6801
     -0.75000000      0.79043423       29.717818      -4119.2679
     -0.50000000      0.70715334       35.765465      -3398.3256
     -0.25000000      0.60683570       40.298097      -1933.3528
       0.0000000      0.49652483       41.900808      -8.7927009
      0.25000000      0.38573393       40.287705       1907.8677
      0.50000000      0.28531648       35.862892       3351.2486
      0.75000000      0.20144336       29.864748       4159.3315
       1.0000000      0.13653469       23.406850       4221.3946
       1.2500000     0.089717868       17.339527       3822.6309
       1.5000000     0.057365737       12.520885       3213.6589
       1.7500000     0.035648029       8.8763605       2572.3389
       2.0000000     0.021331152       6.0379043       1939.1790
       2.2500000     0.012187004       4.1221439       1439.5867
       2.5000000    0.0062351229       2.7838095       1053.5176
       2.7500000    0.0024115245       1.8885813       761.75373
       3.0000000       0.0000000       1.2177300       521.50336
